Kategorie,Umgebung,Anpassung_mean,Anpassung_std,Anpassung_min,Anpassung_max,Anpassung_count,Effizienz_mean,Effizienz_std,Effizienz_min,Effizienz_max,Mobilität_mean,Mobilität_std,Mobilität_min,Mobilität_max,Energie_mean,Energie_std,Energie_min,Energie_max,Alter_mean,Alter_std,Alter_min,Alter_max
population,GEBIRGE,1.2277062077443148,0.5152346911279945,0.5,2.0,1627,1.903878918254456,0.17497559686978126,0.872,2.0,1.3496299938537184,0.4987452196568566,0.5,2.0,159.6061278426552,55.58829563022637,0.12,200.0,371.9545175169023,392.864621054374,0,2000
population,GRASLAND,1.2080798479087453,0.5124472758386337,0.5,2.0,1315,1.8274403041825094,0.2612878158802221,0.868,2.0,1.3403269961977187,0.5034090914831099,0.5,2.0,191.8724258555133,22.94038533064249,32.5,200.0,403.3330798479087,443.7781646782836,0,1993
population,OZEAN,1.2001047495120363,0.5108702798132205,0.5,2.0,1537,1.840707872478855,0.24128517909898106,0.968,2.0,1.3385582303188028,0.49676551796868895,0.5,2.0,181.02227065712427,37.39903717161977,9.82,200.0,393.9160702667534,426.0819272234179,0,1983
population,SUMPF,1.200916464891041,0.5080263055376211,0.5,2.0,1652,1.8397602905569008,0.2499221793779808,0.82,2.0,1.3454152542372884,0.5003631177733399,0.5,2.0,185.2365496368039,32.99740323770668,25.4,200.0,389.07445520581115,423.0597624373958,0,2000
population,TUNDRA,1.2586088861076346,0.5291622013024925,0.5,2.0,1598,1.927851689612015,0.16968627697204916,0.875,2.0,1.5061345431789737,0.44746533647539194,0.5,2.0,83.38249687108886,51.4717645740275,0.05,200.0,229.42052565707135,318.349930738529,0,2000
population,VULKAN,1.262843669250646,0.5260103118776795,0.5,2.0,1548,1.8518184754521962,0.24285465604666445,0.785,2.0,1.4558068475452195,0.46555033447363947,0.5,2.0,59.46586563307494,41.02860082364804,0.13,200.0,60.549095607235145,175.41022427454953,0,1919
population,WALD,1.2190795601552393,0.5179459113931376,0.5,2.0,1546,1.8245284605433376,0.2683061421601539,0.643,2.0,1.3210899094437256,0.5005131428349725,0.5,2.0,192.8854721862872,20.76731863852079,60.47,200.0,391.6869340232859,427.8860148825651,0,2000
population,WÜSTE,1.2771967721911854,0.5369176016355736,0.5,2.0,1611,1.8671073867163253,0.23341370839859402,0.685,2.0,1.4498032278088142,0.46342353528699604,0.5,2.0,60.508851644941025,41.34765724153778,0.08,200.0,94.62073246430788,218.68637923818648,0,1934
same,GEBIRGE,1.1948100799016594,0.5221704975233847,0.5,2.0,1627,1.9120086047940996,0.16901490847350012,0.922,2.0,1.3161561155500923,0.5028461004176098,0.5,2.0,158.30073755377995,55.213136230165524,0.44,200.0,383.82175783650894,429.53027370963116,0,1957
same,GRASLAND,1.1827313546423135,0.5258298197767797,0.5,2.0,1314,1.807113394216134,0.27470923783116663,0.817,2.0,1.2654292237442921,0.5072277474188174,0.5,2.0,191.47532724505325,23.23447903606062,22.28,200.0,393.83561643835617,440.0433618572851,0,1952
same,OZEAN,1.1744072869225766,0.5261294578382769,0.5,2.0,1537,1.8372264150943396,0.25078046041872976,0.824,2.0,1.294504879635654,0.5072190405405248,0.5,2.0,180.05615484710475,39.33655684654051,9.69,200.0,388.9843851659076,439.9976544868559,0,1997
same,SUMPF,1.190537149817296,0.526670460014105,0.5,2.0,1642,1.8242052375152251,0.26303122138192625,0.715,2.0,1.2817466504263095,0.4999669547925832,0.5,2.0,182.62148599269182,35.81253175832449,44.01,200.0,395.7228989037759,444.57665565547796,0,1989
same,TUNDRA,1.2322994987468672,0.5381349301376293,0.5,2.0,1596,1.9140269423558895,0.18934049513536652,0.912,2.0,1.4432418546365917,0.47879151073161125,0.5,2.0,83.32016917293232,51.104426274654955,0.0,200.0,242.71616541353384,331.0019447261554,0,1938
same,VULKAN,1.2415277777777778,0.5188276425679984,0.5,2.0,1548,1.8356447028423772,0.24524669661800702,0.705,2.0,1.4015,0.49443332956880415,0.5,2.0,60.79532299741602,40.533962013297845,0.09,200.0,66.11111111111111,185.76353884751214,0,1920
same,WALD,1.1696832901554404,0.5067994052425189,0.5,2.0,1544,1.8270511658031088,0.2601267861740205,0.646,2.0,1.288145725388601,0.4995967422514886,0.5,2.0,192.4082189119171,22.30537901178478,24.01,200.0,395.2746113989637,448.28801555436877,0,2000
same,WÜSTE,1.2579937965260546,0.5518616233786706,0.5,2.0,1612,1.8648988833746898,0.23255622724789649,0.524,2.0,1.423025434243176,0.48536974199208405,0.5,2.0,60.846693548387094,41.50914107276574,0.07,200.0,80.47704714640199,185.8179063512448,0,1829
seed,GEBIRGE,1.2899953083109919,0.5218194636339294,0.5,2.0,1492,1.903505361930295,0.17633770219675796,0.853,2.0,1.2722466487935657,0.5074715926296958,0.5,2.0,159.02734584450403,55.26562686823093,0.75,200.0,362.0583109919571,406.26645428325025,0,1955
seed,GRASLAND,1.260620064724919,0.5084460909938116,0.5,2.0,1545,1.808712621359223,0.27629724691962637,0.708,2.0,1.2851644012944983,0.5078703415592788,0.5,2.0,190.46118446601943,24.967687848191535,47.53,200.0,403.0744336569579,457.87371443222156,0,1974
seed,OZEAN,1.2706967532467532,0.51854339737404,0.5,2.0,1540,1.8301194805194805,0.24759762681707598,0.912,2.0,1.2498064935064934,0.4949940977556274,0.5,2.0,183.53364285714287,35.05391940522967,22.74,200.0,415.20649350649353,441.61522326103847,0,1972
seed,SUMPF,1.255127959053103,0.5233563872466105,0.5,2.0,1563,1.8234824056301984,0.25236498306507543,0.89,2.0,1.2874190658989124,0.5130157593502993,0.5,2.0,184.26810620601407,34.339973979729976,10.39,200.0,395.7357645553423,431.76818206238966,0,1960
seed,TUNDRA,1.2868577533577534,0.5269116563716939,0.5,2.0,1638,1.924407203907204,0.17685711594214473,0.688,2.0,1.4403626373626373,0.47839395371404647,0.5,2.0,83.90968864468864,52.3570076371042,0.01,200.0,254.13431013431014,324.2058201781199,0,1945
seed,VULKAN,1.304945893089961,0.5221905504486872,0.5,2.0,1534,1.8233937418513688,0.26138488887158745,0.753,2.0,1.3809204693611472,0.49046058222027084,0.5,2.0,58.92960234680573,39.07826006646407,0.03,200.0,65.79465449804432,194.3925328484745,0,1975
seed,WALD,1.2659901120632828,0.5163754941489509,0.5,2.0,1517,1.8006005273566248,0.281438270224487,0.701,2.0,1.2793065260382335,0.5076329078895716,0.5,2.0,191.7875807514832,23.651799794589078,41.77,200.0,392.9914304548451,437.5459439793051,0,1983
seed,WÜSTE,1.3710655430711611,0.5234693913653651,0.5,2.0,1602,1.848078027465668,0.2479825597403872,0.74,2.0,1.4072359550561797,0.49076900663086875,0.5,2.0,62.978770287141074,44.614471612360646,0.01,200.0,97.84269662921348,224.64265517292614,0,1960
steps,GEBIRGE,1.0073779141104295,0.4522841634648754,0.5,2.0,1630,1.9013079754601228,0.1790673940510323,0.955,2.0,1.2276177914110429,0.4699562868299891,0.5,2.0,150.256490797546,58.89737086855905,0.66,200.0,299.2680981595092,320.052665863603,0,1934
steps,GRASLAND,0.9778854961832061,0.4187257789302435,0.5,2.0,1310,1.787416030534351,0.2886845832206377,0.706,2.0,1.203518320610687,0.45776722967300176,0.5,2.0,190.86456488549618,23.590323139754403,36.25,200.0,314.3419847328244,334.9968094335594,0,1978
steps,OZEAN,0.9943261578604043,0.44252266608694557,0.5,2.0,1533,1.8024383561643835,0.2634091757709376,0.964,2.0,1.2073170254403132,0.47798684525146107,0.5,2.0,173.0075081539465,43.64694138298266,27.08,200.0,310.1526418786693,345.2789335586514,0,1960
steps,SUMPF,0.9884099756690997,0.44381331146439057,0.5,2.0,1644,1.8055504866180048,0.2675261692873562,0.5,2.0,1.2419951338199513,0.4685399993129948,0.5,2.0,179.83860705596106,39.00558495920602,24.57,200.0,302.580900243309,313.9647822672459,0,1936
steps,TUNDRA,1.0069899812147778,0.4578150638976845,0.5,2.0,1597,1.9037388854101442,0.19905530980839808,0.821,2.0,1.3277620538509707,0.47866342184914323,0.5,2.0,74.69483406386975,47.3318983064685,0.09,200.0,172.06261740763932,234.47411662020198,0,1924
steps,VULKAN,0.9967653522947642,0.44758559410577975,0.5,2.0,1547,1.8328978668390432,0.2524543147262633,0.802,2.0,1.2940297349709116,0.47810302076898514,0.5,2.0,60.89676147382029,39.139002193140236,0.24,200.0,51.449256625727216,145.14727045565735,0,1938
steps,WALD,0.9870871530019367,0.43251062273876795,0.5,2.0,1549,1.7478779857972886,0.3206394188363351,0.626,2.0,1.1824067140090382,0.48076552043553095,0.5,2.0,190.91435119431893,24.13607590032492,50.66,200.0,300.1897998708844,316.1506466774949,0,1967
steps,WÜSTE,1.0394181705040448,0.4827529263647318,0.5,2.0,1607,1.8407703795892967,0.25039212369851876,0.737,2.0,1.3121499688861231,0.4807044157053705,0.5,2.0,60.03833229620411,40.77011396670826,0.01,200.0,70.41008089607965,170.59233257441983,0,1798
